Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01,55.29061913964005,55.80027353026293,55.07894024114491,55.29061913964005,17130620,0.0,0.0
2015-01-02,54.418070569678235,54.602414925204364,54.10997832533467,54.418070569678235,7640663,0.0,0.0
2015-01-05,55.09098019279835,55.386712907141316,54.93024534641739,55.09098019279835,7646416,0.0,0.0
2015-01-06,55.93944330225506,56.46948235164672,55.75661006811898,55.93944330225506,7950738,0.0,0.0
2015-01-07,54.272358733623115,54.304102699751546,54.131054976550935,54.272358733623115,9144661,0.0,0.0
2015-01-08,53.195769930357464,53.79231464112066,52.96477466133016,53.195769930357464,8052293,0.0,0.0
2015-01-09,53.328100592767214,53.680651590181526,52.843146106438624,53.328100592767214,8538824,0.0,0.0
2015-01-12,53.08817897688784,53.23077217829713,52.689736417552616,53.08817897688784,3082455,0.0,0.0
2015-01-13,53.09915008171544,53.31985293853529,52.90374311194792,53.09915008171544,9039803,0.0,0.0
2015-01-14,52.41527063371252,52.51915992833595,52.38124783655286,52.41527063371252,8933707,0.0,0.0
2015-01-15,53.171280995582826,53.25252144683448,53.06809230851293,53.171280995582826,12134590,0.0,0.0
2015-01-16,53.85195575211645,54.092619804703524,53.76453204200043,53.85195575211645,13160339,0.0,0.0
2015-01-19,53.93339381441339,54.13628685519315,53.63214727610525,53.93339381441339,8399540,0.0,0.0
2015-01-20,54.92526526711124,55.238562492490175,54.609858222448466,54.92526526711124,11351593,0.0,0.0
2015-01-21,55.35722912546911,55.357760112013395,55.11576501384178,55.35722912546911,6385429,0.0,0.0
2015-01-22,54.63889020409923,54.72179567747073,54.57371253468739,54.63889020409923,11186326,0.0,0.0
2015-01-23,54.98302015723472,55.12364299815135,54.74993846184307,54.98302015723472,7483845,0.0,0.0
2015-01-26,54.184487650716456,54.222865628568584,54.133487304091695,54.184487650716456,6228155,0.0,0.0
2015-01-27,54.96519593879869,55.07435525415053,54.87675931054287,54.96519593879869,8404882,0.0,0.0
2015-01-28,54.94788303337291,55.039218100834006,54.01137547101085,54.94788303337291,13526235,0.0,0.0
2015-01-29,54.81396933632964,55.03803744121323,54.153120052073554,54.81396933632964,9381982,0.0,0.0
2015-01-30,54.25486545327263,54.36923927517059,54.1012133203538,54.25486545327263,13921520,0.0,0.0
2015-02-02,55.33563641052422,55.36164835797546,55.17081831124005,55.33563641052422,7098401,0.0,0.0
2015-02-03,55.227153317625394,55.4102793096386,54.694937592766124,55.227153317625394,12168428,0.0,0.0
2015-02-04,54.88172643429076,55.06345212932425,54.78638832202392,54.88172643429076,7307063,0.0,0.0
